OBJECTID,CREATION_DT,RECORDATION_DT,NARRATIVE,EXPIRATION_DT,STATUS,SQUARE,SUFFIX,LOT,LOT_TYPE,COMPUTED_AREA_SF,SURVEYED_AREA_SF,MAR_ID,IS_REAR_OF,BLDG_NUM,BLDG_NUM_EXT,BLDG_NUM_END_RANGE,BLDG_EXT_END_RANGE,QUADRANT,ZIP5,ZIP4,RECORD_AREA_SF,CONV_TOLERANCE_TYPE,CONV_TOLERANCE_VALUE,CONV_TOLERANCE_RESOLUTION,RECORDLOTSPLYID,PARCELSPLYID,SQUAREPLYID,OF_LOT_SEQ,BOOK_NUM,PAGE_NUM,UNDERLIES_CONDO,CONDO_BOOK_NUM,CONDO_PAGE_NUM,KILL_DT,SSL,COL,CONDOLOT,CONDO_REGIME_NUM,AREA,LEN,SHAPE_Length,SHAPE_Area
3852642,2006/09/09 00:00:00+00,,"PHASE 1 - SEE CONDO BOOK 77, PAGE 49 (CONDOS 2064 - 2067) KILLED TAX LOT 877 ON 5/24/2013.",,2,0513,,0877,2,2013,,,,,,,,,,,2013,1,,,,,,,,,1,77,49,2013/05/24 00:00:00+00,0513    0877,N,Y,4126,,,94.7306017514821,309.364799094303
3852643,2009/05/26 00:00:00+00,2009/03/31 00:00:00+00,"SEE CONDO BOOK 80, PAGE 1 (CONDOS 2001 - 2470) KILLED TAX LOT 845 ON 9/11/2013.",,2,0673,,0845,2,57355,,,,,,,,,,,57355,,,,,,,,3842,U,1,80,1,2013/09/11 00:00:00+00,0673    0845,N,Y,4129,,,378.871400945702,8812.46881733935
3852644,2006/09/09 00:00:00+00,,"DELIVERY 5 - SEE CONDO BOOK 79, PAGE 45 (CONDOS 2026 - 2028) KILLED TAX LOT 802 ON 8/21/2013.",,2,1111,,0802,2,1425,,,,,,,,,,,1425,1,,,,,,,,,1,79,45,2013/08/21 00:00:00+00,1111    0802,N,Y,5032,,,73.5844020612217,218.833534518371
3852645,2010/03/01 00:00:00+00,2009/09/28 00:00:00+00,"SEE CONDO BOOK 80, PAGE 21 (CONDOS 2107 - 2216) KILLED TAX (903,905,906,910) & AIR RIGHTS LOTS (7034,7037-7038,7044-7049,7057) ON 9/26/2013.",,2,0374,,0902,2,7347,,,,,,,,,,,7348,,,,,,,,3847,"I,J,K,&L",1,80,21,2013/09/26 00:00:00+00,0374    0902,N,Y,5028,,,280.469810151209,1128.753575962
3852646,2007/07/26 00:00:00+00,2006/05/16 00:00:00+00,"SEE CONDO BOOK 79, PAGE 19 (CONDOS 2022 - 2025) KILLED TAX LOT 806 ON 7/25/2013.",,2,1111,,0806,2,2850,,,,,,,,,,,2850,,,,,,,,3827,A,1,79,19,2013/07/25 00:00:00+00,1111    0806,N,Y,5031,,,88.5086023906634,437.708131563808
3852647,2006/09/09 00:00:00+00,,"DELIVERY 9 - SEE CONDO BOOK 80, PAGE 5 (CONDOS 2001 - 2023) KILLED TAX LOT 839 ON  9/25/2013",,2,2897,,0839,2,7327,,,,,,,,,,,7353,1,,,,,,,2415,*,1,80,5,2013/09/25 00:00:00+00,2897    0839,N,Y,5054,,,142.355209613287,1126.75971723289
3852648,2010/03/01 00:00:00+00,2009/09/28 00:00:00+00,"SEE CONDO BOOK 80, PAGE 21 (CONDOS 2107 - 2216) KILLED TAX (903,905,906,910) & AIR RIGHTS LOTS (7034,7037-7038,7044-7049,7057) ON 9/26/2013.",,2,0374,,0896,2,4575,,,,,,,,,,,4577,,,,,,,,3847,"I,J,K,&L",1,80,21,2013/09/26 00:00:00+00,0374    0896,N,Y,5028,,,175.967125630194,702.822031650931
3852649,2010/03/01 00:00:00+00,2009/09/28 00:00:00+00,"SEE CONDO BOOK 80, PAGE 21 (CONDOS 2107 - 2216) KILLED TAX (903,905,906,910) & AIR RIGHTS LOTS (7034,7037-7038,7044-7049,7057) ON 9/26/2013.",,2,0374,,0900,2,2006,,,,,,,,,,,2006,,,,,,,,3847,"I,J,K,&L",1,80,21,2013/09/26 00:00:00+00,0374    0900,N,Y,5028,,,82.099702927503,308.170402137434
3852650,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 77, PAGE 47 (CONDOS 2161 - 2170) KILLED TAX LOTS 807 - 811 ON 11/28/2012",,2,4327,,0809,2,2064,,,,,,,,,,,2064,,,,,,,,3853 & 3854,E & A,1,77,47,2012/11/28 00:00:00+00,4327    0809,N,Y,3200,,,86.1659595364049,317.294126941339
3852651,2006/09/09 00:00:00+00,,"DELIVERY 10 - SEE CONDO BOOK 80, PAGE 14 (CONDOS 2021 - 2026) KILLED TAX LOT 814 ON 9/27/2013",,2,4057,,0814,2,2746,,,,,,,,,,,2704,1,,,,,,,3615,v,1,80,14,2013/09/27 00:00:00+00,4057    0814,N,Y,5065,,,90.0196441738349,421.957462199378
3852652,2011/08/30 00:00:00+00,1969/02/18 00:00:01+00,"SEE CONDO BOOK 66, PAGE 9 (CONDOS 2001 & 2002) KILLED TAX LOT 807 ON 1/14/2008.",,2,0008,,0807,2,38964,,,,,,,,,,,37897,1,,,,,,,3574,C,1,66,9,2008/01/14 00:00:00+00,0008    0807,N,Y,2881,,,381.633115951398,5985.76990424495
3852653,2011/07/01 00:00:00+00,2011/06/27 00:00:00+00,"SEE CONDO BOOK 73, PAGE 49 (CONDOS 2012 - 2013) KILLED AIR RIGHTS LOT 7026 & TAX LOT 870 ON 12/21/2010.",,2,0441,,0870,2,18269,,,,,,,,,,,18269,,,,,,,,3852,H & I,1,73,49,2010/12/21 00:00:00+00,0441    0870,N,Y,2541,,,290.367408118236,2807.73205433644
3852654,2006/09/09 00:00:00+00,,"SEE CONDO BOOK 67, PAGE 13 (CONDOS 2405 - 2438) KILLED TAX LOT 859 ON 3/31/2008.",,2,1264,E,0859,2,24494,,,,,,,,,,,23989,1,,,,,,,3728,V,1,67,13,2008/03/31 00:00:00+00,1264E   0859,N,Y,2910,,,310.642682291035,3706.86456167065
3852655,2006/09/09 00:00:00+00,,DELIVERY 12,,2,5997,,0806,2,2982,,,,,,,,,,,2969,1,,,,,,,3695,i,1,67,15,2008/11/12 00:00:00+00,5997    0806,N,Y,1984,,,89.9637611142353,457.460236329537
3852656,2011/09/09 00:00:00+00,2005/08/31 00:00:00+00,"SEE CONDO BOOK 65, PAGE 24 (CONDOS 2001 - 2012) KILLED TAX LOT 811 ON 11/29/2007.",,2,1171,,0811,2,40902,,,,,,,,,,,41389,,,,,,,,3821,C,1,65,24,2007/11/29 00:00:00+00,1171    0811,N,Y,2893,,,333.803128054946,6283.97735790441
3852657,2010/03/01 00:00:00+00,2009/09/28 00:00:00+00,"SEE CONDO BOOK 80, PAGE 21 (CONDOS 2107 - 2216) KILLED TAX (903,905,906,910) & AIR RIGHTS LOTS (7034,7037-7038,7044-7049,7057) ON 9/26/2013.",,2,0374,,0899,2,264,,,,,,,,,,,264,,,,,,,,3847,"I,J,K,&L",1,80,21,2013/09/26 00:00:00+00,0374    0899,N,Y,5028,,,35.4002013000833,40.5925328669994
3852658,2009/04/13 00:00:00+00,,SEE CONDO BOOK 67 PAGE 49 (CONDOS 2001 - 2094) KILLED TAX LOT 818 ON 6/10/2008.,,2,0071,,0818,2,19897,,,,,,,,,,,19907,1,,,,,,,3815,F,1,67,49,2008/06/10 00:00:00+00,0071    0818,N,Y,3159,,,289.545571455218,3057.10582426856
3852659,2010/04/07 00:00:00+00,1979/06/11 00:00:00+00,SEE CONDO BOOK 27 PAGE 36 (CONDOS 2001 - 2078) KILLED TAX LOT 817 ON 3/27/1981.,,2,1192,,0817,2,28192,,,,,,,,,,,27854,,,,,,,,3652,Y,1,27,36,1981/03/27 00:00:00+00,1192    0817,N,Y,2386,,,303.445000738333,4331.41638959674
3852660,2010/04/07 00:00:00+00,1981/07/21 00:00:00+00,SEE CONDO BOOK 28 PAGE 15 (CONDOS 2001 - 2032) KILLED TAX LOT 841 ON 8/25/1981.,,2,1190,,0841,2,10140,,,,,,,,,,,10099,,,,,,,,3684,Q,1,28,15,1981/08/25 00:00:00+00,1190    0841,N,Y,2385,,,160.692935017243,1557.84992626733
3852661,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 78, PAGE 29 (CONDOS 2171 - 2182) KILLED TAX LOTS 812 - 817 ON 3/15/2013",,2,4327,,0812,2,3130,,,,,,,,,,,3130,,,,,,,,3853 & 3854,E & A,1,78,29,2013/03/15 00:00:00+00,4327    0812,N,Y,3200,,,95.9080294622246,481.225273778567
3852662,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 77, PAGE 47 (CONDOS 2161 - 2170) KILLED TAX LOTS 807 - 811 ON 11/28/2012",,2,4327,,0811,2,3130,,,,,,,,,,,3130,,,,,,,,3853 & 3854,E & A,1,77,47,2012/11/28 00:00:00+00,4327    0811,N,Y,3200,,,95.9073339113091,481.220328514838
3852663,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 78, PAGE 29 (CONDOS 2171 - 2182) KILLED TAX LOTS 812 - 817 ON 3/15/2013",,2,4327,,0817,2,3130,,,,,,,,,,,3130,,,,,,,,3853 & 3854,E & A,1,78,29,2013/03/15 00:00:00+00,4327    0817,N,Y,3200,,,95.9079993005303,481.227357343357
3852664,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 78, PAGE 29 (CONDOS 2171 - 2182) KILLED TAX LOTS 812 - 817 ON 3/15/2013",,2,4327,,0816,2,2064,,,,,,,,,,,2064,,,,,,,,3853 & 3854,E & A,1,78,29,2013/03/15 00:00:00+00,4327    0816,N,Y,3200,,,86.1661258793793,317.294927413592
3852665,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 78, PAGE 29 (CONDOS 2171 - 2182) KILLED TAX LOTS 812 - 817 ON 3/15/2013",,2,4327,,0813,2,2064,,,,,,,,,,,2064,,,,,,,,3853 & 3854,E & A,1,78,29,2013/03/15 00:00:00+00,4327    0813,N,Y,3200,,,86.1635757025301,317.265831822029
3852666,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 78, PAGE 29 (CONDOS 2171 - 2182) KILLED TAX LOTS 812 - 817 ON 3/15/2013",,2,4327,,0814,2,2064,,,,,,,,,,,2064,,,,,,,,3853 & 3854,E & A,1,78,29,2013/03/15 00:00:00+00,4327    0814,N,Y,3200,,,86.1660876552766,317.295703090011
3852667,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 78, PAGE 29 (CONDOS 2171 - 2182) KILLED TAX LOTS 812 - 817 ON 3/15/2013",,2,4327,,0815,2,2064,,,,,,,,,,,2064,,,,,,,,3853 & 3854,E & A,1,78,29,2013/03/15 00:00:00+00,4327    0815,N,Y,3200,,,86.1662048459516,317.29648906299
3852668,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 77, PAGE 47 (CONDOS 2161 - 2170) KILLED TAX LOTS 807 - 811 ON 11/28/2012",,2,4327,,0808,2,2064,,,,,,,,,,,2064,,,,,,,,3853 & 3854,E & A,1,77,47,2012/11/28 00:00:00+00,4327    0808,N,Y,3200,,,86.1656459816339,317.290037836043
